"id","companyName","tradeName","cnpj","email","economicGroupId","isActive","createdAt"
3,"Gotcha","GTodos","11.222.333/0001-44","ajup@gmail.com",1,"true","""2025-07-24T23:43:02.183Z"""
5,"NIKY INSTITUICAO DE PAGAMENTO SA","NIKY.","11.512.962/0001-46","",5,"true","""2025-08-18T20:24:11.743Z"""
7,"ALLP FIT FRANQUEADORA LTDA","ALLP FIT FRANQUEADORA LTDA","51.159.562/0001-13","",5,"true","""2025-08-18T20:24:11.743Z"""
8,"ELYTRON SECURITY CONSULTORIA DE TECNOLOGIA S.A.","ELYTRON SECURITY CONSULTORIA DE TECNOLOGIA S.A.","30.763.603/0001-06","",5,"true","""2025-08-18T20:24:11.743Z"""
9,"AMOR SAUDE LTDA","AMOR SAUDE","27.602.235/0001-00","",5,"true","""2025-08-18T20:24:11.743Z"""
10,"ASSOCIACAO FRANQUEADOS TODOS","ASSOCIACAO FRANQUEADOS TODOS","32.750.571/0001-30","",5,"true","""2025-08-18T20:24:11.743Z"""
11,"PROTETOR SAUDE INTERMEDIACAO DE SERVICOS LTDA","PROTETOR SAUDE","39.754.330/0001-08","",5,"true","""2025-08-18T20:24:11.743Z"""
12,"MUNDIAL DISTRIBUIDORA DE PRODUTOS DE CONSUMO LTDA","MUNDIAL DISTRIBUIDORA DE PRODUTOS DE CONSUMO LTDA","12.744.404/0002-50","",5,"true","""2025-08-18T20:24:11.743Z"""
13,"REFUTURIZA EMPREENDIMENTO EDUCACIONAL S.A","REFUTURIZA","29.490.639/0001-84","",5,"true","""2025-08-18T20:24:11.743Z"""
14,"GT7 COMUNICACAO LTDA","GTI","38.448.371/0001-03","",5,"true","""2025-08-18T20:24:11.743Z"""
15,"DATA MINES TECNOLOGIA LTDA","DATA MINES TECNOLOGIA LTDA","54.574.343/0001-99","",5,"true","""2025-08-18T20:24:11.743Z"""
16,"VISAO INCORPORADORA LTDA","VISAO INCORPORADORA LTDA","44.734.667/0001-93","",5,"true","""2025-08-18T20:24:11.743Z"""
17,"ASSOCIACAO BRASILEIRA DE METALURGIA, MATERIAIS E MINERACAO -","ABM","60.998.267/0001-41","",5,"true","""2025-08-18T20:24:11.743Z"""
18,"CASTELO ALIMENTOS S/A","CASTELO","07.814.284/0001-07","",5,"true","""2025-08-18T20:24:11.743Z"""
19,"FLYTOUR FRANCHISING ASSESSORIA E PARTICIPACOES LTDA","FLYTOUR FRANCHISING ASSESSORIA E PARTICIPACOES LTDA","73.126.732/0001-04","",5,"true","""2025-08-18T20:24:11.743Z"""
20,"GLOBO COMUNICACAO E PARTICIPACOES S/A","GLOBOPAR, TV GLOBO, REDE GLOBO E GLOBO.COM","27.865.757/0027-33","",5,"true","""2025-08-18T20:24:11.743Z"""
22,"GREENLINE CARBONSAT TECNOLOGIA LTDA","GREENLINE CARBONSAT","50.789.498/0001-91","",5,"true","""2025-08-18T20:24:11.743Z"""
23,"GTX SOLUCOES E PARTICIPACOES LTDA","GTX SOLUCOES","33.838.433/0001-70","",5,"true","""2025-08-18T20:24:11.743Z"""
24,"ITA BUS PUBLICIDADE LTDA","ITA BUS PUBLICIDADE","05.949.233/0001-59","",5,"true","""2025-08-18T20:24:11.743Z"""
25,"TODOS EMPREENDIMENTOS LTDA","CARTAO DE TODOS","04.644.515/0001-85","",5,"true","""2025-08-18T20:24:11.743Z"""
26,"PET DE TODOS FRANQUEADORA LTDA","PET DE TODOS","48.942.696/0001-00","",5,"true","""2025-08-18T20:24:11.743Z"""
27,"ALIMENTOS ZAELI LTDA","ALIMENTOS ZAELI LTDA","77.917.680/0001-37","",5,"true","""2025-08-18T20:26:44.378Z"""
4,"Zaeli","Zaeli Ltda","49.366.277/0001-21","roberto.oliveira@zaeli.com",5,"true","""2025-07-24T23:44:16.468Z"""
2,"Cliente teste","Teste Ltda","11.222.333/0001-44","eeep@gmail.com",5,"false","""2025-07-24T23:00:33.506Z"""
