"id","name","description","isActive","createdAt","updatedAt"
2,"Conteúdo","Departamento de produção de conteúdo","true","""2025-07-30T21:18:28.993Z""","""2025-07-30T21:18:28.993Z"""
3,"Design","Departamento de design gráfico e visual","true","""2025-07-30T21:18:28.993Z""","""2025-07-30T21:18:28.993Z"""
9,"PR","Departamento de relações públicas","true","""2025-08-15T22:33:51.789Z""","""2025-08-15T22:33:51.789Z"""
15,"Finalização","","true","""2025-10-03T15:10:24.645Z""","""2025-10-03T15:10:24.645Z"""
1,"Criação","Departamento de criação e desenvolvimento criativo","true","""2025-07-30T21:18:28.993Z""","""2025-10-03T21:26:19.449Z"""
14,"Influencer","Departamento de marketing de influência","true","""2025-08-15T22:38:42.304Z""","""2025-10-03T21:26:59.292Z"""
6,"Atendimento","Departamento de atendimento ao cliente","true","""2025-08-15T22:33:51.789Z""","""2025-10-03T21:29:52.679Z"""
10,"Comercial","Departamento comercial","true","""2025-08-15T22:33:51.789Z""","""2025-10-03T21:29:56.487Z"""
4,"Mídia","Departamento de mídia paga e performance","true","""2025-07-30T21:18:28.993Z""","""2025-10-03T21:30:57.816Z"""
12,"Social","Departamento de social media","true","""2025-08-15T22:38:42.304Z""","""2025-10-03T21:41:06.795Z"""
7,"Qualidade","Departamento de qualidade","true","""2025-08-15T22:33:51.789Z""","""2025-10-03T21:41:12.988Z"""
11,"Produção","Departamento de produção","true","""2025-08-15T22:33:51.789Z""","""2025-10-03T21:41:21.429Z"""
8,"Planejamento","Departamento de planejamento","true","""2025-08-15T22:33:51.789Z""","""2025-10-03T21:41:38.094Z"""
13,"Midia OOH","Departamento de mídia","true","""2025-08-15T22:38:42.304Z""","""2025-10-03T21:42:05.324Z"""
