"id","userId","date","campaignId","campaignTaskId","hours","description","resultCenter","status","submittedAt","reviewedBy","reviewedAt","reviewComment","createdAt","updatedAt"
44,3,"2025-07-29",2,1,"3","","Todos","APROVADO","","","""2025-07-31T01:15:25.255Z""","","""2025-07-30T22:34:13.368Z""","""2025-07-31T01:15:26.118Z"""
46,3,"2025-07-28",3,2,"0.5","","Todos","APROVADO","","","""2025-07-31T01:15:25.255Z""","","""2025-07-30T22:34:13.947Z""","""2025-07-31T01:15:26.108Z"""
27,2,"2025-07-28",2,1,"3","","Todos","APROVADO","","","""2025-07-28T23:59:31.667Z""","","""2025-07-28T22:20:48.520Z""","""2025-07-28T23:59:32.304Z"""
26,2,"2025-07-28",3,2,"2.0","Reunião com RH sobre novos processos","Todos","APROVADO","","","""2025-07-29T00:17:37.578Z""","","""2025-07-28T21:37:17.542Z""","""2025-07-29T00:17:38.169Z"""
29,2,"2025-07-28",2,3,"2.25","","Todos","APROVADO","","","""2025-07-29T00:17:40.963Z""","","""2025-07-28T22:20:49.106Z""","""2025-07-29T00:17:41.563Z"""
51,3,"2025-07-29",4,6,"5","","Todos","RASCUNHO","",1,"""2025-08-01T19:35:16.144Z""","NOVO COMENTARIO","""2025-07-30T22:34:15.398Z""","""2025-08-01T19:35:17.151Z"""
45,3,"2025-07-30",2,1,"3","","Todos","APROVADO","","","""2025-07-31T01:15:25.255Z""","","""2025-07-30T22:34:13.660Z""","""2025-07-31T01:15:26.177Z"""
34,2,"2025-07-28",4,6,"1","","Todos","APROVADO","","","""2025-07-30T01:32:49.780Z""","","""2025-07-29T02:27:43.572Z""","""2025-07-30T01:32:49.354Z"""
31,2,"2025-07-28",4,6,"1","","Todos","APROVADO","","","""2025-07-30T01:32:49.780Z""","","""2025-07-29T02:26:18.280Z""","""2025-07-30T01:32:49.378Z"""
32,2,"2025-07-28",4,6,"1","","Todos","APROVADO","","","""2025-07-30T01:32:49.780Z""","","""2025-07-29T02:26:55.761Z""","""2025-07-30T01:32:49.405Z"""
28,2,"2025-07-28",2,4,"2","","Todos","APROVADO","","","""2025-07-30T03:28:32.977Z""","","""2025-07-28T22:20:48.818Z""","""2025-07-30T03:28:32.546Z"""
35,2,"2025-07-28",2,3,"4","","Todos","APROVADO","","","""2025-07-30T03:28:34.665Z""","","""2025-07-29T02:27:43.858Z""","""2025-07-30T03:28:34.226Z"""
